garbage	reading	conf	status
cipa	מקום	79	applied
D-ha	מרום	92	notfound
PXI	ואת	95	applied
rx	את	85	applied
uas ^een	has been	96	applied
an'ia	בורא	74	lowconf
xvQiog	κυριος	68	lowconf
{yno-^Qiovg	ὑποχειρίους	95	applied
s:is>,	עצב	94	applied
fiis	צום	76	lowconf
n-i-na	מרום	90	applied
ranEivbv	ταπεινὸν	77	lowconf
^src),	בתבי	71	lowconf
rraa	נכסה	71	lowconf
riEi'Ta	מוסה	89	applied
fiftni	הלא	96	applied
(uG-rbyovg)	ἀστέγους	89	applied
*na	מרד	92	applied
ano TWV oixstcov rov	ἀπὸ τῶν οἰχείων τοῦ	95	applied
TK	אז	91	applied
"pnb	לחמך	80	applied
yvtfjs	ψυχῆς	95	notfound
x^snn	המציא	77	lowconf
sisa ,	בּנל	77	lowconf
cbi's	עולם	73	applied
t^urm,	אשישים	80	applied
si'-i^	קדוש	89	applied
isnp	קדוש	90	applied
pTr,	שבת	79	lowconf
cinp,	קדוש	73	applied
jnp	קרא	96	applied
(raits?)	לשבת	87	notfound
(wpb)	לקדוט	87	applied
rvina	כמות	85	applied
?,-pnsn	הסתירג	82	applied
(ovdiig laltl	οὐδεὶς λαλεῖ	96	applied
dixaia)	δίκαια	87	applied
xata'co	καλέω	92	applied
di'xqv	δίκην	95	applied
(&a7.q)&w)	ϑαλφϑέν	72	lowconf
>sb	פעל	88	applied
FrstBM ,	נגששה	85	applied
Houhigant, JIMES	נשגגה ,1100018001	67	lowconf
repe	ΓΟΡΘ	77	lowconf
nws	ענתה	86	applied
ft	כן	68	lowconf
ft	לו	84	halfword
bs	על	96	notfound
ori	וזס	75	lowconf
i-na	מירר	82	applied
"tt	צר	96	applied
noob	נססה	91	applied
n^abn,	חלכאים	81	applied
rvns	ברית	89	applied
<pomtoi;,	φωτίζον	81	applied
toTjttin,but	טל , השך סז	67	lowconf
nsn	ראה	96	applied
TX	אז	91	applied
TX	אז	91	applied
axtjniai y.a^ln^o^oi.	σκηνίται καμηλοβοσχοί	82	applied
"innog	Ἵππος	88	applied
ysv	ספוך	79	lowconf
-px-ib ibsi.	רעלו לרצון	74	lowconf
*ixa ,	פצר	75	lowconf
bx	אל	74	applied
atjlrst,	at first	96	applied
*innB	פתחג	90	applied
-pta	נאץ	73	lowconf
ttStipj	קדוש	93	applied
^rn	רחמפי	75	lowconf
cbis	עולם	92	applied
"i^ax	אביר	90	applied
fiabb	לנגה	77	lowconf
propo	סקסו	74	lowconf
WBO	מטען	74	lowconf
"ixarn	התפאר	90	applied
*INB	פאר	94	applied
tjjsbn	חלקם	80	applied
ftbw	עולה	90	applied
S"iia	נודע	87	applied
I'BIZJ biia.	גדול ןו	66	lowconf
rvpqttov ieQarevopevw	γύμφιον ἱερατευόμενον	68	lowconf
unintel	1 מותט	82	notfound
l)\j	ὑγ	73	lowconf
Michaelis/br.	Michaelis for	96	applied
bx;,	אל	67	lowconf
trtK	אדם	93	applied
-jiD'abB	מלבושך	93	applied
Tbattx	אגאלתי	77	lowconf
mbnn	תהלות	75	lowconf
(w^ra's).	ἀρετάς	87	applied
aio	טוב	91	applied
rnsn	המה	95	applied
Tipur	רשקרו	87	notfound
ft	כן	86	applied
ft ^ ,	צר לו	84	applied
ov TTQwfivg	οὐ πρέσβυς	96	applied
ovds ayytvLo? a/LX' avro?	οὐδὲ ἄγγελος ἀλλ᾽ αὐτὸς	90	italic
avioi^.	αυτους	78	lowconf
-is	צר	73	applied
"ft	צר	96	applied
rx	את	89	applied
rx	את	87	applied
ia-ipja	בקרבו	70	lowconf
isnan	תנחזג	68	lowconf
Wtfsnn	הראטנה	73	lowconf
*"-5Sa^	למצכ	65	lowconf
^"JFJ	קדטף	77	lowconf
xib ,	לוא	65	lowconf
fc&,	לא	84	applied
rviaix	אומות	91	applied
t&is	עולם	93	applied
tto	עולם	90	applied
tw nss .	בגד עדים	75	lowconf
sitti	שוב	66	lowconf
ftns*	אחה	85	applied
finx	אתה	68	lowconf
ifora;	τέττα	91	applied
"JXE"!?	עדדמאד	65	lowconf
NJ	נָא	74	lowconf
ianp	קדש	92	applied
P^s	פרק	96	applied
P^B	פרק	97	applied
(aoQQet	πόῤῥω	67	lowconf
Ipov)	ἐμοῦ	95	applied
*ja	מן	87	applied
(Mai.	M al	89	applied
bs	על	93	halfword
nr&J&n	ראש:ה	82	applied
naiflsn	ראשנה	91	applied
aftxi	ואתם	78	lowconf
S'nn	חרב	96	applied
ofc	οἵ	71	lowconf
rnrn	רהוה	88	applied
yixn	בארץ	92	applied
tYhsn	הצרות	91	applied
ipt	זקן	92	applied
(f'(>c5	ᾧ ῶ	86	applied
rnoveable	6 ה6טסתז	75	lowconf
(tanv f[iii)t	ἔστιν ἐμά	72	lowconf
Ijaiyinr	ἡσύχιον	91	applied
Lowtli	Low th	96	applied
ifJLftaiypaia	ἐμπαίγματα	89	applied
ol	οἱ	92	applied
ol	οἱ	95	applied
rfcn	חלה	91	applied
betne	be the	96	applied
TfcS	ἰῷ	69	lowconf
bns	נחל	82	applied
itt) fcs	על שר	95	applied
bs ,	ΩΣ	81	applied
ovdsis,	οὐδείς	96	notfound
tti^	איש	95	applied
^''Tin	הודרע	81	applied
fi?t	זעם	88	applied
bs csj	זְעַם על	85	applied
ns	את	87	applied
tov$ x/J^oiv),	τοὺς κήποις	93	italic
aHijkoor.	ἀλλήλων	96	applied
"rnx	אחד	93	applied
irix	אחד	91	applied
f/v rovf xfaovg,	εἰς τοὺς κήπους	96	italic
rotV nyodvQoig.	τοῖς προϑύυροις	81	italic
fc^rx	אככלים	70	lowconf
Mxa	באה	94	applied
rixa	באה	96	applied
tion	מסוז	87	notfound
lov^'E^^vag 'idovag	τοὺς “Βλληνας ᾿Ιάονας	73	lowconf
^UQ^UQOL Ixabovv.	βάρβαροι ἐχαλοῦν	88	applied
rinsa	מנחה	92	applied
rmao	מנחה	82	applied
elg oQaatv;	εἰς ὅρασιν	80	notfound
Jian	ראה	96	applied
tion	מסגז	85	notfound
nqo'iGia^	προϊστάμε	91	applied
ana^,	ἅπαξ	93	applied
&&IJTS	ϑέλητε	89	notfound
siaaxov^rjis	εἰσακουσῆτε	69	lowconf
a(iot.fid<i) •	ἀμοιβάς	96	applied
n*>a*n	הלמים	86	applied
iG%vovGav.	ἰσχυουσαν	79	lowconf
tiiYi^n	הקדוש	91	applied
D^ns	גדרם	82	applied
i^arc	כחבלי	92	applied
{i'i|e),	ἤνιξε	76	lowconf
{tt.KnovTe$ {tttyezs) ,	βλέποντες βλέψετε	90	applied
bq^vrag	ὁρῶντας	95	applied
%aQiTo$	χάριτος	92	applied
(jjtd^ivgds	μάρτυράς	96	applied
z/pj	τιμή	93	applied
(ftB^irb	לשרפה	90	applied
D^S	פנ"ם	81	applied
@Qa%iovog	βοαχίονος	84	applied
pxx/UVoyrfff	ἐκκλίνοντες	72	lowconf
TTTCO^V).	πτωχῶν	84	applied
(r^v ony^v	τὴν ὀργὴν	95	applied
*QD	פבר	80	applied
bx-HUi	רשראל	75	applied
"n^pfi	חקשיבי	85	applied
foi^ai),	δεῖξαι	73	lowconf
(OQOV$	ὄρους	94	applied
(avol^ars	ἀνοίξατε	95	applied
(yopi^ovTsg	νομίζοντες	91	applied
(^n^o^noi	ὑπέρκομποι	93	applied
M3S^	רענה	93	applied
(asiQ^vst;)	σειρῆνες	85	applied
rn&	סרה	96	applied
eiyQoavv-ys.	εὐφροσύνης	97	applied
i>ip^/Lw,	ὑψηλῷ	96	applied
^nba^	לכלחי	92	applied
(m^bs	עלמרה	75	lowconf
#//'aoo	ϑήσω	91	applied
TT^OV	πηλοῦ	65	lowconf
(7>pi>	עפיד	83	applied
oir&si	דבלתים	87	notfound
m-iBrt	הפריה	88	applied
*,ttn	חמן	91	applied
B'naoa	ביארים	76	lowconf
d*nt	זררם	77	lowconf
b-'&iBn	השפיל	91	applied
xvQt<p	χυριῷ	72	lowconf
avaaT^covai).	ἀναστήσουσι	76	lowconf
*na	ב"ד	82	halfword
BQodgofi&s	πρόδρομος	97	applied
di^a	ביום	66	lowconf
na-n	רראה	87	applied
bs>	על	96	applied
^sb	לצגר	66	lowconf
ea%drqs).	ἐσχάτης	91	applied
j'tco^/W	γεωργίαν	96	applied
*(ttfie	ΝΟΣ	68	lowconf
(svv&^ag.	συνϑήκας	74	lowconf
iw*	ררגעי	87	notfound
-px	ארץ	90	applied
M:rn	רחמל	74	lowconf
bs> ta^a*	ורמים על	70	lowconf
qpo^eo	φύβω	68	lowconf
(o'nh)	חרים	87	applied
sop"1	יקרא	89	applied
(p^i^n	הירדן	85	applied
(t,a%vGoi.Te	ἰσχύσατε	96	notfound
D^xzn	רבצים	78	lowconf
-pn	דרך	89	applied
-pi	דרך	91	halfword
7Y(>xcoy)	Τέρχων	68	lowconf
*IIBX	אשר	72	applied
^TTX, i.e.	6 ,אשר	89	applied
i^s	צוין	89	notfound
rd^ai nfQ\	τάξαι περὶ	96	applied
trttM.ea&ai	ἐγτέλλεσϑαι	69	lowconf
toi> /Jt'ov,	τοῦ βίου	96	italic
rq>	τῷ	90	applied
aQWfidv&v)	ἀρωμάτων	93	applied
^tf^TM	μιχϑήτω	92	applied
(JSVW&G)	γενέσϑω	90	applied
ya.Gi(n l^ovaa^).	γαστρὶ ἐχούσας	89	applied
^TQU,	μέτρα	96	applied
^rra	מתר	83	applied
dr>%r]	ἀρχὴ	96	applied
t^s ,	צאת	65	lowconf
xt'vTQov r/xaTtlfine	κέντρον ἐγκατέλειπε	91	applied
-rj<	אמר	87	applied
lariJQi^e)	ἐστήριξε	95	applied
fi&ri	βέλη	97	applied
jjpieqs&ov,	ἡμίεφϑον	88	applied
ar&afie.	ἀγέλαβε	88	applied
nku.vi]q	πλ ἀνης	72	lowconf
oi>%	οὐχ	75	lowconf
sa^i	ורעובע	80	applied
N'jn	הטא	73	lowconf
i^nnbtt)	שלחתיו	92	applied
&ala.vatjg	ϑαλάσσης	89	applied
(sn^arog	σπέρματός	89	applied
y.a^ln^o^oi.	καμηλοβοσχοί	89	applied
-px-ib	לרצון	92	applied
^ste	צובף	71	lowconf
I'BIZJ	טובין	72	lowconf
a/LX'	ἀλλ	96	applied
i'np	קרב	79	applied
*pa	ממך	91	applied
TQan^a	τραπέζα	86	applied
^r.x	אחד	79	applied
f/v	שו 6	73	lowconf
^UQ^UQOL	βάρβαροι	95	applied
